#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,de crèdits disponibles,de crèdits disp. a nivell de vinculació,de crèdits retinguts pendents d'ús,de despeses autoritzades,de despeses compromeses,d'obligacions reconegudes,Disponible de Remanentes por aplicación,Disponible de Remanentes por aplicación
,,SG1,9120.0,1000001.0,RETRIBUCIONS.- CÀRRECS ELECTES,275033.0,,275033.0,275033.0,,447.89,,,,,,
,,SG1,9270.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA.- PARTICIPACIÓ CIUTADANA,52643.0,,52643.0,52643.0,,447.89,,,,,,
,,SG4,4310.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA DINAMITZACIÓ COMERCIAL,38902.0,,38902.0,38902.0,,,,,,,,
,,SG4,9311.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA.- SERV. ECONÒMICS,44986.0,,44986.0,44986.0,,447.89,,,,,,
,,SP1,2305.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA.- SERVEI A LES PERSONES,34840.0,,34840.0,34840.0,,2763.65,,,,,,
,,CM1,1550.0,1200001.0,BASIQUES FUNC.- VIES PUBLIQUES..,34836.0,,34836.0,34836.0,,,,,,,,
,,CM1,1610.0,1200001.0,BASIQUES FUNC.- AIGUA I SANEJAMENT,24809.0,,24809.0,24809.0,,,,,,,,
,,CM1,1650.0,1200001.0,BASIQUES FUNC.- ENLLUMENAT .....,24308.0,,24308.0,24308.0,,,,,,,,
,,CM1,1690.0,1200001.0,BASIQUES FUNC.- CIUTAT I MEDI AMBIENT,11904.0,,11904.0,11904.0,,,,,,,,
,,CM2,1511.0,1200001.0,BASIQUES FUNC.- URBANISME .....,88939.0,,88939.0,88939.0,,,,,,,,
,,CM3,1512.0,1200001.0,BASIQUES FUNCIONARIS.- OBRA PÚBLICA,16618.0,,16618.0,16618.0,,,,,,,,
,,SG1,9120.0,1200001.0,BASIQUES FUNC.- ORG. GOVERN..,27052.0,,27052.0,27052.0,,447.89,,,,,,
,,SG3,9202.0,1200001.0,BASIQUES FUNC.-SERVEIS JURÍDICS.....,41056.0,,41056.0,41056.0,,447.89,,,,,,
,,SG3,9203.0,1200001.0,BASIQUES FUNC.- CONTRACTACIÓ...,16334.0,,16334.0,16334.0,,447.89,,,,,,
,,SG4,9311.0,1200001.0,BASIQUES FUNC.- INTERVENCIO...,29108.0,,29108.0,29774.06,-666.06,447.89,,,,,,
,,SG4,9324.0,1200001.0,BASIQUES FUNC.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,63361.0,,63361.0,63361.0,,447.89,,,,,,
,,SG5,1300.0,1200001.0,BASIQUES FUNC.- POLICIA .......,898413.0,,898413.0,898413.0,,,,,,,,
,,SP1,2410.0,1200001.0,RETRIBUCIONS BASIQUES.- FORMACIÓ,11784.0,,11784.0,11784.0,,2763.65,,,,,,
,,SP1,3370.0,1200001.0,BASIQUES FUNC.- JOVENTUT,13348.0,,13348.0,13348.0,,4769.23,,,,,,
,,SP2,3323.0,1200001.0,BASIQUES FUNC.- ARXIU I PATR..,22745.0,,22745.0,22745.0,,4769.23,,,,,,
,,SP3,3400.0,1200001.0,BASIQUES FUNC.- ESPORTS .......,13861.0,,13861.0,13861.0,,4769.23,,,,,,
,,CM1,1550.0,1210001.0,COMPLEM. FUNC.- VIES PUBLIQUES.,22226.0,,22226.0,22226.0,,,,,,,,
,,CM1,1610.0,1210001.0,COMPLEM. FUNC.- AIGUA I SANEJAMENT,17670.0,,17670.0,17670.0,,,,,,,,
,,CM1,1650.0,1210001.0,COMPLEM. FUNC.- ENLLUMENAT ....,13108.0,,13108.0,13108.0,,,,,,,,
,,CM1,1690.0,1210001.0,COMPLEM. FUNC.- CIUTAT I MEDI AMBIENT,6554.0,,6554.0,6554.0,,,,,,,,
,,CM2,1511.0,1210001.0,COMPLEM. FUNC.- URBANISME ....,81861.0,,81861.0,81861.0,,,,,,,,
,,CM3,1512.0,1210001.0,COMPL. FUNCIONARI.- OBRA PÚBLICA,18854.0,,18854.0,18854.0,,,,,,,,
,,SG1,9120.0,1210001.0,COMPLEM. FUNC.- ORG. GOVERN,21778.0,,21778.0,21778.0,,447.89,,,,,,
,,SG3,9202.0,1210001.0,COMPLEM. FUNC.-SERVEIS JURÍDICS....,42323.0,,42323.0,42323.0,,447.89,,,,,,
,,SG3,9203.0,1210001.0,COMPLEM. FUNC.- CONTRACTACIÓ..,10011.0,,10011.0,10011.0,,447.89,,,,,,
,,SG4,9311.0,1210001.0,COMPLEM. FUNC.- INTERVENCIO..,37407.0,,37407.0,37407.0,,447.89,,,,,,
,,SG4,9324.0,1210001.0,COMPLEM. FUNC.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,47200.0,,47200.0,47200.0,,447.89,,,,,,
,,SG5,1300.0,1210001.0,COMPLEM. FUNC.- POLICIA ......,823551.0,,823551.0,823551.0,,,,,,,,
,,SP1,2410.0,1210001.0,COMPLEM. FUNC.- FORMACIÓ,7565.0,,7565.0,7565.0,,2763.65,,,,,,
,,SP1,3370.0,1210001.0,COMPLEMEN. FUNC.- JOVENTUT,11487.0,,11487.0,11487.0,,4769.23,,,,,,
,,SP2,3323.0,1210001.0,COMPLEM. FUNC.- ARXIU I PATR..,15849.0,,15849.0,15849.0,,4769.23,,,,,,
,,SP3,3400.0,1210001.0,COMPLEM. FUNC.- ESPORTS .......,7026.0,,7026.0,7026.0,,4769.23,,,,,,
,,CM1,1550.0,1300001.0,BASIQUES LAB.- VIES PUBLIQUES ..,81987.0,,81987.0,81987.0,,,,,,,,
,,CM1,1650.0,1300001.0,BASIQUES LAB.- ENLLUMENAT ......,30385.0,,30385.0,30385.0,,,,,,,,
,,CM1,1690.0,1300001.0,BASIQUES LAB.- CIUTAT I MEDI AMBIENT,131707.0,,131707.0,131707.0,,,,,,,,
,,CM1,1710.0,1300001.0,BASIQUES LAB.- PARCS I JARD..,89925.0,,89925.0,89925.0,,,,,,,,
,,CM1,1720.0,1300001.0,BASIQUES LAB.- MEDI AMBIENT,39587.0,,39587.0,39587.0,,,,,,,,
,,CM2,1511.0,1300001.0,BASIQUES LAB.- URBANISME ......,95711.0,,95711.0,95711.0,,,,,,,,
,,CM3,1512.0,1300001.0,BASIQUES LAB.- PROJECTES ......,95473.0,,95473.0,95473.0,,,,,,,,
,,SG1,9120.0,1300001.0,BASIQUES LAB.- ALCALDIA,35798.0,,35798.0,35798.0,,447.89,,,,,,
,,SG1,9270.0,1300001.0,BASIQUES LAB.- COMUNICACIO ...,5519.0,,5519.0,5519.0,,447.89,,,,,,
,,SG2,9200.0,1300001.0,BÀSIQUES LAB.- OAC,118170.0,,118170.0,118170.0,,447.89,,,,,,
,,SG2,9205.0,1300001.0,BASIQUES LAB.- REC. HUMANS ...,93690.0,,93690.0,93690.0,,447.89,,,,,,
,,SG2,9206.0,1300001.0,BASIQUES LAB.- INFORMATICA ....,25854.0,,25854.0,25854.0,,447.89,,,,,,
,,SG3,4930.0,1300001.0,BASIQUES LAB.- DEFENS. CONSUM.,13861.0,,13861.0,13861.0,,,,,,,,
