#P,E,N. Operació,Fase,Data,Referència,Projecte,Aplicació,Import,Saldo,Exercici,Orgànica,Programa,Econòmica,tercer,Nom terc.,Text lliure,Document,Data doc.,Nº Registro Factura
4,2,2.20180027778e+11,R,43453.0,22018004967.0,,2018 SG8 4310 2269901,1149.5,1149.5,2018.0,SG8,4310,2269901,B60986924,2PIR INGENIEROS 1 SLP,Documentació per al Concert Musical Port De Maó el  31/08/2018,188/18,43346.0,F/2018/6438
9,4,2.20180017734e+11,R,43367.0,22017001373.0,,2018 SG1 9120 4800114,1500.0,1500.0,2018.0,SG1,9120,4800114,G07490261,AAVV CAMI DE SES VINYES,PAGAMENT SUBVENCIO NOMINATIVA 2017,,,
9,4,2.20180026203e+11,R,43441.0,22018002654.0,,2018 SG1 9120 4800114,1500.0,1500.0,2018.0,SG1,9120,4800114,G07490261,AAVV CAMI DE SES VINYES,SUBVENCIÓ NOMINATIVA A AV CAMI DE SES VINYES,,,
9,4,2.20180027774e+11,R,43453.0,22018002678.0,,2018 SG1 9120 4800114,600.0,600.0,2018.0,SG1,9120,4800114,G57293029,AAVV CAMI DES CASTELL DE DALT,PAGAMENT SUBVENCIÓ NOMINATIVA A AV CAMI DES CASTELL DE DALT 2018,,,
9,4,2.20180027773e+11,R,43453.0,22018002677.0,,2018 SG1 9120 4800114,1000.0,1000.0,2018.0,SG1,9120,4800114,G07588031,AAVV DALT SANT JOAN,PAGAMENT SUBVENCIÓ NOMINATIVA A AV DALT SANT JOAN 2018,,,
9,4,2.20180021909e+11,R,43392.0,22017001980.0,,2018 SG1 9120 4800114,1000.0,1000.0,2018.0,SG1,9120,4800114,G07899420,AAVV ES CANUTELLS,PAGAMENT SUBVENCIO NOMINATIVA AAVV ES CANUTELLS 2017,,,
9,4,2.20180027771e+11,R,43453.0,22018002948.0,,2018 SG1 9120 4800114,1000.0,1000.0,2018.0,SG1,9120,4800114,G07899420,AAVV ES CANUTELLS,PAGAMENT SUBVENCIÓ NOMINATIVA A AV CANUTELLS 2018,,,
9,4,2.20180027775e+11,R,43453.0,22018002682.0,,2018 SG1 9120 4800114,1000.0,0.0,2018.0,SG1,9120,4800114,H07780281,AAVV JARDINS DE MALBUGER,PAGAMENT SUBVENCIÓ NOMINATIVA A AV JARDINS DE MALBUGER 2018,,,
9,4,2.20180028609e+11,R/,43458.0,22018002682.0,,2018 SG1 9120 4800114,-1000.0,0.0,2018.0,SG1,9120,4800114,H07780281,AAVV JARDINS DE MALBUGER,PAGAMENT SUBVENCIÓ NOMINATIVA A AV JARDINS DE MALBUGER 2018 DEVOLUCIO PER C/C INCORRECTE,,,
9,4,2.20180016404e+11,R,43339.0,22017002326.0,,2018 SG1 9120 4800114,2500.0,2500.0,2018.0,SG1,9120,4800114,G07459845,AAVV LLUCMAÇANES,PAGAMENT SUBVENCIÓ NOMINATIVA A L'AV LLUCMAÇANES    2017,,,
9,4,2.2018002732e+11,R,43451.0,22018004098.0,,2018 SG1 9120 4800114,2500.0,2500.0,2018.0,SG1,9120,4800114,G07459845,AAVV LLUCMAÇANES,PAGAMENT SUBVENCIÓ NOMINATIVA AV LLUCMAÇANES 2018,,,
9,4,2.20180016405e+11,R,43339.0,22017002325.0,,2018 SG1 9120 4800114,1500.0,1500.0,2018.0,SG1,9120,4800114,G07475676,AAVV MOLI D'ES PLA,PAGAMENT SUBVENCIÓ NOMINATIVA A L'AV MOLI D'ES PLA   2017,,,
