#Econòmica,cap,Descripció,PREVISIÓN INICIAL 2018,PREVISIÓN INICIAL 2019
11200.0,1.0,IBI Rustica,51000.0,75000.0
11301.0,1.0,IBI Urbana,12300000.0,12400000.0
11400.0,1.0,IBI Urbana-Béns Caract Esp,1550000.0,1490000.0
11501.0,1.0,I Vehicles,1620000.0,1475000.0
11600.0,1.0,I Plusvalues,1025000.0,1400000.0
13000.0,1.0,IAE,1235000.0,1113000.0
#,Total 1,,17781000.0,17953000.0
29000.0,2.0,ICIO,170000.0,190000.0
29100.0,2.0,Vedats de caça,2600.0,2600.0
#,Total 2,,172600.0,192600.0
30008.0,3.0,T Abasteixament Aigua,1350000.0,1350000.0
30101.0,3.0,T Sanejament,515000.0,515000.0
31107.0,3.0,T Residencia Geriàtrica,976000.0,1115000.0
31111.0,3.0,T Assistència domiciliaria,93000.0,120000.0
31206.0,3.0,T. Serveis Culturals i d'Oci,80000.0,100000.0
31309.0,3.0,T Instal·lacions  Esportives,340000.0,420000.0
32100.0,3.0,T Llicències  Urbanístiques,95000.0,190000.0
32106.0,3.0,T. Casaments,3500.0,4200.0
32505.0,3.0,T Expedició documents,12000.0,18000.0
32601.0,3.0,T Grua,19000.0,30000.0
32900.0,3.0,T Serveis Especial,14000.0,18000.0
32904.0,3.0,T Cementiris,260000.0,275000.0
32905.0,3.0,T Cementiris. Retrib. Conces.,226025.0,226025.0
33013.0,3.0,T Sistema Àrea,450000.0,450000.0
33101.0,3.0,T OVP Guals,160000.0,165000.0
33114.0,3.0,T.OVP Reserva d'Aparcament,8000.0,8500.0
33205.0,3.0,T Empres. Subministraments,300000.0,320000.0
33206.0,3.0,Compensació de Telefónica SA,105000.0,115000.0
33502.0,3.0,"T OVP Taules, Cadires, etc.",115000.0,125000.0
33903.0,3.0,T OVP Feriants,4000.0,0.0
33904.0,3.0,T OVP Ambulants,85000.0,72000.0
33906.0,3.0,T OVP Obres i bastides,6500.0,2000.0
34207.0,3.0,PP Esceles Infantils,700000.0,760000.0
34401.0,3.0,PP ENTRADES CENTRE D'ART I D'HISTÒRIA HERNANDEZ SANZ,4000.0,7200.0
39100.0,3.0,Sancions  urbanístiques,7000.0,9600.0
39120.0,3.0,Multes Tràfic,650000.0,550000.0
39190.0,3.0,Altres sancions,12000.0,32000.0
39211.0,3.0,Recàrrecs Apremi,125000.0,210000.0
39300.0,3.0,Inter. demora,70000.0,85000.0
39900.0,3.0,Recursos Eventuals,18000.0,30000.0
39904.0,3.0,Costes de procediment de recaptació,20000.0,25000.0
39940.0,3.0,INGR. PER EXECUCIONS SUBSIDIÀRIES,60000.0,60000.0
#,Total 3,,6883025.0,7407525.0
42000.0,4.0,Participació en Tributs Estat,6085000.0,5996000.0
42390.0,4.0,AUTORITAT PORTUÀRIA.- NETEJA PORT,56000.0,57000.0
45001.0,4.0,Aport Fons Coop. Local,243000.0,243000.0
45003.0,4.0,CAIB - Conveni estades RG,300000.0,0.0
45006.0,4.0,CAIB - DÈFICIT COMPETÈNCIES IMPROPIES,0.0,3712155.0
45030.0,4.0,CAIB - Aportació Educació 0-3,75000.0,106000.0
45083.0,4.0,CAIB - FONS DE SEGURETAT PÚBLICA,0.0,53500.0
46100.0,4.0,CIM - Places concertades  RG,510000.0,0.0
46103.0,4.0,CIM - PROGRAMA SERVEIS SOCIALS COMUNITARIS BÀSICS,504000.0,0.0
46104.0,4.0,CIM - Sou Bombers,51360.0,53000.0
46105.0,4.0,CIMe.- CONSUM GAS PROPÀ RESIDÈNCIA ANCIANS,15000.0,15000.0
46106.0,4.0,CIME- CONVENI SAD 2017,19000.0,0.0
46107.0,4.0,CIMe - AJUTS TEMPORALS D'EMERGÈNCIA SOCIAL,0.0,110000.0
46132.0,4.0,CIMe - AJUTS A L'EDUCACIÓ INFANITIL 0-3,0.0,34000.0
46138.0,4.0,CIMe - APORT. CENTRE HDEZ SANZ,60000.0,60000.0
46203.0,4.0,CONVENI AJUNTAMENTS CESSIÓ POLICIES LOCALS,0.0,20000.0
47101.0,4.0,Anuncis Contractació,2000.0,4000.0
#,Total 4,,7920360.0,10463655.0
52000.0,5.0,Interessos Dipòsits,290.0,100.0
54100.0,5.0,Lloguer  vivendes mpals.,9610.0,10000.0
55000.0,5.0,Conces. Administ. ús privatiu,195000.0,160000.0
55001.0,5.0,Conc. Adm. Cementiri,33000.0,25000.0
55003.0,5.0,Canon Sistema Àrea,35000.0,35000.0
55004.0,5.0,FUNERARIA GOMILA  - Canon concessió,17000.0,0.0
#,Total 5,,289900.0,230100.0
72001.0,7.0,CAIB - FEDER - subv. Rehab. Claustre del Carme,0.0,87350.0
72005.0,7.0,Mº ECONOMIA - FEDER - MERCAT DES PEIX,0.0,73584.0
75000.0,7.0,CAIB Casa de les Aigües,6605.0,6605.0
75067.0,7.0,CAIB- Projecte Turisme Sostenible,624910.0,0.0
76100.0,7.0,CIME - Pla Instal. Esportives,53400.0,53400.0
76102.0,7.0,CIMe - Invers. Zonas y Areas Turíst,0.0,28000.0
76109.0,7.0,CIME - Pla Insular Cooperació,352000.0,352000.0
77003.0,7.0,FUNERARIA GOMILA.- Amort. Tècniques,8100.0,8100.0
#,Total 7,,1045015.0,609039.0
83000.0,8.0,Bestretes Personal,60000.0,60000.0
#,Total 8,,60000.0,60000.0
91301.0,9.0,Prestec ll. T. Inversions,2500000.0,2500000.0
#,Total 9,,2500000.0,2500000.0
#,Total general,,36651900.0,39415919.0
