#,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,Pagaments fets,de crèdits disponibles,de crèdits disp. a nivell de vinculació,de crèdits retinguts pendents d'ús,de despeses autoritzades,de despeses compromeses,d'obligacions reconegudes,Disponible de Remanentes por aplicación
,SG1,9120.0,1000001.0,RETRIBUCIONS.- CÀRRECS ELECTES,272881.0,,272881.0,272881.0,272881.0,,,,,,,
,SG1,9270.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA.- PARTICIPACIÓ CIUTADANA,52643.0,,52643.0,52643.0,52643.0,,,,,,,
,SG4,4310.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA DINAMITZACIÓ COMERCIAL,38902.0,,38902.0,38902.0,38902.0,,,,,,,
,SG4,9311.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA.- SERV. ECONÒMICS,,,,,,,,,,,,
,SP1,2305.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA.- SERVEI A LES PERSONES,34840.0,,34840.0,34840.0,34840.0,,,,,,,
,CM1,1550.0,1200001.0,BASIQUES FUNC.- VIES PUBLIQUES..,35275.0,,35275.0,35275.0,35275.0,,,,,,,
,CM1,1610.0,1200001.0,BASIQUES FUNC.- AIGUA I SANEJAMENT,19640.0,,19640.0,19640.0,19640.0,,,,,,,
,CM1,1650.0,1200001.0,BASIQUES FUNC.- ENLLUMENAT .....,24559.0,,24559.0,24559.0,24559.0,,,,,,,
,CM1,1690.0,1200001.0,BASIQUES FUNC.- CIUTAT I MEDI AMBIENT,12155.0,,12155.0,12155.0,12155.0,,,,,,,
,CM2,1511.0,1200001.0,BASIQUES FUNC.- URBANISME .....,90439.0,,90439.0,90439.0,90439.0,,,,,,,
,CM3,1512.0,1200001.0,BASIQUES FUNCIONARIS.- OBRA PÚBLICA,16618.0,,16618.0,16618.0,16618.0,,,,,,,
,SG1,9120.0,1200001.0,BASIQUES FUNC.- ORG. GOVERN..,10815.0,,10815.0,10815.0,10815.0,,,,,,,
,SG3,9202.0,1200001.0,BASIQUES FUNC.-SERVEIS JURÍDICS.....,41998.0,,41998.0,41998.0,41998.0,,,,,,,
,SG3,9203.0,1200001.0,BASIQUES FUNC.- CONTRACTACIÓ...,16334.0,,16334.0,16334.0,16334.0,,,,,,,
,SG4,9311.0,1200001.0,BASIQUES FUNC.- INTERVENCIO...,19521.0,,19521.0,19521.0,19521.0,,,,,,,
,SG4,9324.0,1200001.0,BASIQUES FUNC.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,64287.0,,64287.0,64287.0,64287.0,,,,,,,
,SG5,1300.0,1200001.0,BASIQUES FUNC.- POLICIA .......,874383.0,,874383.0,874383.0,874383.0,,,,,,,
,SP1,2304.0,1200001.0,RETRIBUCIONS BASIQUES ASSISTENCIA PRIMARIA,30245.0,,30245.0,30245.0,30245.0,,,,,,,
,SP1,2410.0,1200001.0,RETRIBUCIONS BASIQUES.- FORMACIÓ,12145.0,,12145.0,12145.0,12145.0,,,,,,,
,SP1,3370.0,1200001.0,BASIQUES FUNC.- JOVENTUT,12396.0,,12396.0,12396.0,12396.0,,,,,,,
,SP2,3323.0,1200001.0,BASIQUES FUNC.- ARXIU I PATR..,38863.0,,38863.0,38863.0,38863.0,,,,,,,
,SP3,3400.0,1200001.0,BASIQUES FUNC.- ESPORTS .......,13862.0,,13862.0,13862.0,13862.0,,,,,,,
,CM1,1550.0,1210001.0,COMPLEM. FUNC.- VIES PUBLIQUES.,22226.0,,22226.0,22226.0,22226.0,,,,,,,
,CM1,1610.0,1210001.0,COMPLEM. FUNC.- AIGUA I SANEJAMENT,14624.0,,14624.0,14624.0,14624.0,,,,,,,
,CM1,1650.0,1210001.0,COMPLEM. FUNC.- ENLLUMENAT ....,13108.0,,13108.0,13108.0,13108.0,,,,,,,
,CM1,1690.0,1210001.0,COMPLEM. FUNC.- CIUTAT I MEDI AMBIENT,6554.0,,6554.0,6554.0,6554.0,,,,,,,
,CM2,1511.0,1210001.0,COMPLEM. FUNC.- URBANISME ....,81862.0,,81862.0,81862.0,81862.0,,,,,,,
,CM3,1512.0,1210001.0,COMPL. FUNCIONARI.- OBRA PÚBLICA,18855.0,,18855.0,18855.0,18855.0,,,,,,,
,SG1,9120.0,1210001.0,COMPLEM. FUNC.- ORG. GOVERN,5657.0,,5657.0,5657.0,5657.0,,,,,,,
,SG3,9202.0,1210001.0,COMPLEM. FUNC.-SERVEIS JURÍDICS....,44584.0,,44584.0,44584.0,44584.0,,,,,,,
,SG3,9203.0,1210001.0,COMPLEM. FUNC.- CONTRACTACIÓ..,10011.0,,10011.0,10011.0,10011.0,,,,,,,
,SG4,9311.0,1210001.0,COMPLEM. FUNC.- INTERVENCIO..,30853.0,,30853.0,30853.0,30853.0,,,,,,,
,SG4,9324.0,1210001.0,COMPLEM. FUNC.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,47200.0,,47200.0,47200.0,47200.0,,,,,,,
,SG5,1300.0,1210001.0,COMPLEM. FUNC.- POLICIA ......,796463.0,,796463.0,796463.0,796463.0,,,,,,,
,SP1,2304.0,1210001.0,RETRIBUCIONS COMPLEMENTARIES - ATENCIO PRIMARIA,24453.0,,24453.0,24453.0,24453.0,,,,,,,
,SP1,2410.0,1210001.0,COMPLEM. FUNC.- FORMACIÓ,7565.0,,7565.0,7565.0,7565.0,,,,,,,
,SP1,3370.0,1210001.0,COMPLEMEN. FUNC.- JOVENTUT,9066.0,,9066.0,9066.0,9066.0,,,,,,,
,SP2,3323.0,1210001.0,COMPLEM. FUNC.- ARXIU I PATR..,31659.0,,31659.0,31659.0,31659.0,,,,,,,
,SP3,3400.0,1210001.0,COMPLEM. FUNC.- ESPORTS .......,7439.0,,7439.0,7439.0,7439.0,,,,,,,
,CM1,1550.0,1300001.0,BASIQUES LAB.- VIES PUBLIQUES ..,79102.0,,79102.0,79102.0,79102.0,,,,,,,
,CM1,1650.0,1300001.0,BASIQUES LAB.- ENLLUMENAT ......,40226.0,,40226.0,54226.0,54226.0,-14000.0,,,,,,
,CM1,1690.0,1300001.0,BASIQUES LAB.- CIUTAT I MEDI AMBIENT,126475.0,,126475.0,126475.0,126475.0,,,,,,,
,CM1,1710.0,1300001.0,BASIQUES LAB.- PARCS I JARD..,80963.0,,80963.0,80963.0,80963.0,,,,,,,
,CM1,1720.0,1300001.0,BASIQUES LAB.- MEDI AMBIENT,39776.0,,39776.0,39776.0,39776.0,,,,,,,
,CM2,1511.0,1300001.0,BASIQUES LAB.- URBANISME ......,96434.0,,96434.0,96434.0,96434.0,,,,,,,
,CM3,1512.0,1300001.0,BASIQUES LAB.- PROJECTES ......,98654.0,,98654.0,84654.0,84654.0,14000.0,,,,,,
,SG1,9120.0,1300001.0,BASIQUES LAB.- ALCALDIA,24833.0,,24833.0,24833.0,24833.0,,,,,,,
,SG1,9270.0,1300001.0,BASIQUES LAB.- COMUNICACIO ...,5519.0,,5519.0,5519.0,5519.0,,,,,,,
,SG2,9200.0,1300001.0,BÀSIQUES LAB.- OAC,120165.0,,120165.0,120165.0,120165.0,,,,,,,
,SG2,9205.0,1300001.0,BASIQUES LAB.- REC. HUMANS ...,80297.0,276650.78,356947.78,357198.04,357198.04,-250.26,,,,,,
,SG2,9206.0,1300001.0,BASIQUES LAB.- INFORMATICA ....,25854.0,,25854.0,25854.0,25854.0,,,,,,,
,SG3,4930.0,1300001.0,BASIQUES LAB.- DEFENS. CONSUM.,12417.0,,12417.0,12417.0,12417.0,,,,,,,
,SG3,9202.0,1300001.0,BASIQUES LAB.-SERVEIS JURÍDICS......,99999.0,,99999.0,99999.0,99999.0,,,,,,,
,SG4,9311.0,1300001.0,BASIQUES LAB.- INTERVENCIO ...,39618.0,,39618.0,39868.26,39868.26,-250.26,,,,,,
