#,E,Org.,Fun.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,Pagaments fets,SALDO de crèdits disponibles,SALDO de crèdits disp. a nivell de vinculació,SALDO de crèdits retinguts pendents d'ús,SALDO de despeses autoritzades,SALDO de despeses compromeses,SALDO d'obligacions reconegudes,Gasto Pendiente Aplicar a Presupuesto,Factures consumeixen disp. Pend. Comptabilitzar
,1,SG1,9120.0,1000001.0,RETRIBUCIONS.- CÀRRECS ELECTES,272881.0,,272881.0,272881.0,272881.0,,33800.84,,,,,,
,1,SG1,9260.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA.- PARTICIPACIÓ CIUTADANA,52643.0,,52643.0,52643.0,52643.0,,33800.84,,,,,,
,1,SG4,4310.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA DINAMITZACIÓ COMERCIAL,38902.0,,38902.0,38902.0,38902.0,,,,,,,,
,1,SP1,2311.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA.- SERVEI A LES PERSONES,34840.0,,34840.0,34840.0,34840.0,,17087.34,,,,,,
,1,CM1,1610.0,1200001.0,BASIQUES FUNC.- AIGUA I SANEJAMENT,12881.0,,12881.0,13346.0,13346.0,-465.0,,,,,,,
,1,CM1,1624.0,1200001.0,BASIQUES FUNC.- VIES PUBLIQUES..,23279.0,,23279.0,23279.0,23279.0,,,,,,,,
,1,CM1,1650.0,1200001.0,BASIQUES FUNC.- ENLLUMENAT .....,24998.0,,24998.0,24998.0,24998.0,,,,,,,,
,1,CM1,1651.0,1200001.0,BASIQUES FUNC.- CIUTAT I MEDI AMBIENT,12372.0,,12372.0,12372.0,12372.0,,,,,,,,
,1,CM2,1511.0,1200001.0,BASIQUES FUNC.- URBANISME .....,72842.0,,72842.0,72842.0,72842.0,,,,,,,,
,1,CM3,1512.0,1200001.0,BASIQUES FUNCIONARIS.- OBRA PÚBLICA,17490.0,,17490.0,36786.0,36786.0,-19296.0,,,,,,,
,1,SG1,9120.0,1200001.0,BASIQUES FUNC.- ORG. GOVERN..,11201.0,,11201.0,19895.47,19895.47,-8694.47,33800.84,,,,,,
,1,SG3,9202.0,1200001.0,BASIQUES FUNC.-SERVEIS JURÍDICS.....,42748.0,,42748.0,42748.0,42748.0,,33800.84,,,,,,
,1,SG3,9203.0,1200001.0,BASIQUES FUNC.- CONTRACTACIÓ...,17102.0,,17102.0,17102.0,17102.0,,33800.84,,,,,,
,1,SG4,9311.0,1200001.0,BASIQUES FUNC.- INTERVENCIO...,20445.0,,20445.0,20445.0,20445.0,,33800.84,,,,,,
,1,SG4,9340.0,1200001.0,BASIQUES FUNC.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,65435.0,,65435.0,65435.0,65435.0,,33800.84,,,,,,
,1,SG5,1300.0,1200001.0,BASIQUES FUNC.- POLICIA .......,898085.0,,898085.0,898085.0,898085.0,,,,,,,,
,1,SP1,2310.0,1200001.0,RETRIBUCIONS BASIQUES ASSISTENCIA PRIMARIA,31521.0,,31521.0,31521.0,31521.0,,17087.34,,,,,,
,1,SP1,2410.0,1200001.0,RETRIBUCIONS BASIQUES.- FORMACIÓ,12730.0,,12730.0,12730.0,12730.0,,17087.34,,,,,,
,1,SP1,3370.0,1200001.0,BASIQUES FUNC.- JOVENTUT,13352.0,,13352.0,13352.0,13352.0,,138943.68,,,,,,
,1,SP2,3322.0,1200001.0,BASIQUES FUNC.- ARXIU I PATR..,40132.0,,40132.0,40132.0,40132.0,,138943.68,,,,,,
,1,SP3,3400.0,1200001.0,BASIQUES FUNC.- ESPORTS .......,14477.0,,14477.0,14477.0,14477.0,,138943.68,,,,,,
,1,CM1,1610.0,1210001.0,COMPLEM. FUNC.- AIGUA I SANEJAMENT,10360.0,,10360.0,10360.0,10360.0,,,,,,,,
,1,CM1,1624.0,1210001.0,COMPLEM. FUNC.- VIES PUBLIQUES.,15211.0,,15211.0,15211.0,15211.0,,,,,,,,
,1,CM1,1650.0,1210001.0,COMPLEM. FUNC.- ENLLUMENAT ....,13108.0,,13108.0,13108.0,13108.0,,,,,,,,
,1,CM1,1651.0,1210001.0,COMPLEM. FUNC.- CIUTAT I MEDI AMBIENT,6554.0,,6554.0,6554.0,6554.0,,,,,,,,
,1,CM2,1511.0,1210001.0,COMPLEM. FUNC.- URBANISME ....,63007.0,,63007.0,63007.0,63007.0,,,,,,,,
,1,CM3,1512.0,1210001.0,COMPL. FUNCIONARI.- OBRA PÚBLICA,18855.0,,18855.0,,,18855.0,,,,,,,
,1,SG1,9120.0,1210001.0,COMPLEM. FUNC.- ORG. GOVERN,5657.0,,5657.0,5657.0,5657.0,,33800.84,,,,,,
,1,SG3,9202.0,1210001.0,COMPLEM. FUNC.-SERVEIS JURÍDICS....,44584.0,,44584.0,44584.0,44584.0,,33800.84,,,,,,
,1,SG3,9203.0,1210001.0,COMPLEM. FUNC.- CONTRACTACIÓ..,10012.0,,10012.0,10012.0,10012.0,,33800.84,,,,,,
,1,SG4,9311.0,1210001.0,COMPLEM. FUNC.- INTERVENCIO..,30853.0,,30853.0,30853.0,30853.0,,33800.84,,,,,,
,1,SG4,9340.0,1210001.0,COMPLEM. FUNC.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,51092.0,,51092.0,51092.0,51092.0,,33800.84,,,,,,
,1,SG5,1300.0,1210001.0,COMPLEM. FUNC.- POLICIA ......,796463.0,,796463.0,796463.0,796463.0,,,,,,,,
,1,SP1,2310.0,1210001.0,RETRIBUCIONS COMPLEMENTARIES - ATENCIO PRIMARIA,24453.0,,24453.0,24453.0,24453.0,,17087.34,,,,,,
,1,SP1,2410.0,1210001.0,COMPLEM. FUNC.- FORMACIÓ,7565.0,,7565.0,7565.0,7565.0,,17087.34,,,,,,
,1,SP1,3370.0,1210001.0,COMPLEMEN. FUNC.- JOVENTUT,9066.0,,9066.0,9066.0,9066.0,,138943.68,,,,,,
,1,SP2,3322.0,1210001.0,COMPLEM. FUNC.- ARXIU I PATR..,31659.0,,31659.0,31659.0,31659.0,,138943.68,,,,,,
,1,SP3,3400.0,1210001.0,COMPLEM. FUNC.- ESPORTS .......,7439.0,,7439.0,7439.0,7439.0,,138943.68,,,,,,
,1,CM1,1624.0,1300001.0,BASIQUES LAB.- VIES PUBLIQUES ..,80524.0,,80524.0,80524.0,80524.0,,,,,,,,
,1,CM1,1650.0,1300001.0,BASIQUES LAB.- ENLLUMENAT ......,41453.0,,41453.0,41453.0,41453.0,,,,,,,,
,1,CM1,1651.0,1300001.0,BASIQUES LAB.- CIUTAT I MEDI AMBIENT,118146.0,,118146.0,118146.0,118146.0,,,,,,,,
