#any,E,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Compromisos concertats,Drets reconeguts totals,Drets anul·lats,Diferències previsions / drets nets,Drets reconeguts nets,Drets recaptats,Devolucions d'ingrés pagats
2015.0,1,11200.0,IBI Rustica,21970.0,,21970.0,19928.63,266.21,19662.42,17650.82,,17650.82,2011.6
2015.0,1,11301.0,IBI Urbana,11650000.0,,11650000.0,11574035.7,485526.41,11088509.29,10077632.82,170457.66,9907175.16,1181334.13
2015.0,1,11400.0,IBI Urbana-Béns Caract Esp,1312500.0,,1312500.0,1438274.5,1494.03,1436780.47,1334951.27,1082.79,1333868.48,102911.99
2015.0,1,11501.0,I Vehicles,1363000.0,,1363000.0,1412652.81,34098.13,1378554.68,1157670.63,4627.6,1153043.03,225511.65
2015.0,1,11600.0,I Plusvalues,1100000.0,,1100000.0,1942212.27,31647.61,1910564.66,1374711.62,25448.5,1349263.12,561301.54
2015.0,1,13000.0,IAE,1300000.0,,1300000.0,1144324.72,15355.49,1128969.23,986253.64,15355.49,970898.15,158071.08
2015.0,2,29000.0,ICIO,200000.0,,200000.0,163952.71,27889.81,136062.9,159383.79,27889.81,131493.98,4568.92
2015.0,2,29100.0,VEDATS DE CAÇA,,,,2589.27,,2589.27,2113.35,,2113.35,475.92
2015.0,3,30008.0,T Abasteixament Aigua,1350000.0,,1350000.0,,,,,,,
2015.0,3,30101.0,T Sanejament,515000.0,,515000.0,,,,,,,
2015.0,3,31107.0,T Residencia Geriàtrica,850000.0,,850000.0,833288.56,,833288.56,818997.03,,818997.03,14291.53
2015.0,3,31111.0,T Assistència domiciliaria,78000.0,,78000.0,88170.16,219.71,87950.45,86999.25,171.3,86827.95,1122.5
2015.0,3,31206.0,T Serveis Culturals i d'Oci,60000.0,,60000.0,83585.8,305.3,83280.5,80407.8,140.5,80267.3,3013.2
2015.0,3,31309.0,T Instalacions esportives,450000.0,,450000.0,372599.77,343.83,372255.94,359429.66,325.83,359103.83,13152.11
2015.0,3,31901.0,T Mercats,,,,,,,,,,
