#2007,E,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Compromisos concertats,Compromisos realitzats,Drets reconeguts totals,% de realització del pressupost,Drets anul·lats,Drets Cancel·lats,Diferències previsions / drets nets,Drets reconeguts nets,Drets recaptats,Devolucions d'ingrés pagats,Prescrip. Sdo Inic. D'oblig. Dev/Ing.,Saldo Inicial de pagaments ordenats per Dev./Ing.,Recaptació líquida,Drets pendents de cobrament,DUBTOS COBRAMENT,0.2,pend. Cobrament afectat afectat
2017.0,1.0,11200.0,IBI Rustica,21200.0,0.0,21200.0,0.0,0.0,73966.34,345.657362,686.91,0.0,-52079.43,73279.43,68950.16,76.86,0.0,0.0,68873.3,4406.13,881.226,0.2,
2017.0,1.0,11301.0,IBI Urbana,11453520.0,0.0,11453520.0,0.0,0.0,11832838.79,101.504072,207049.56,0.0,-172269.23,11625789.23,10690526.22,13262.1,0.0,0.0,10677264.12,948525.11,189705.022,0.2,
2017.0,1.0,11400.0,IBI Urbana-Béns Caract Esp,1460000.0,0.0,1460000.0,0.0,0.0,1973922.62,135.184324,231.45,0.0,-513691.17,1973691.17,1528902.39,0.0,0.0,0.0,1528902.39,444788.78,88957.756,0.2,
2017.0,1.0,11501.0,I Vehicles,1410000.0,0.0,1410000.0,0.0,0.0,1531742.95,105.539102,43641.58,0.0,-78101.37,1488101.37,1355408.47,3011.36,0.0,31.05,1352397.11,135704.26,27140.852,0.2,
2017.0,1.0,11600.0,I Plusvalues,1907000.0,0.0,1907000.0,0.0,0.0,1750274.57,90.417255,26017.49,0.0,182742.92,1724257.08,1327043.45,6977.93,0.0,0.0,1320065.52,404191.56,80838.312,0.2,
2017.0,1.0,13000.0,IAE,1175000.0,0.0,1175000.0,0.0,0.0,1452427.3,94.726401,339392.06,0.0,61964.76,1113035.24,1051113.22,6227.71,0.0,0.0,1044885.51,68149.73,13629.946,0.2,
2017.0,2.0,29000.0,ICIO,215000.0,0.0,215000.0,0.0,0.0,232246.77,107.431757,1268.47,0.0,-15978.3,230978.3,222801.25,58.77,0.0,0.0,222742.48,8235.82,1647.164,0.2,
2017.0,2.0,29100.0,VEDATS DE CAÇA,1000.0,0.0,1000.0,0.0,0.0,2617.71,259.121817,26.44,0.0,-1591.27,2591.27,2326.77,0.0,0.0,0.0,2326.77,264.5,52.9,0.2,
2017.0,3.0,30008.0,T Abasteixament Aigua,1350000.0,0.0,1350000.0,0.0,0.0,0.0,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2017.0,3.0,30101.0,T Sanejament,515000.0,0.0,515000.0,0.0,0.0,0.0,0.0,0.0,0.0,515000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
