#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
,,SG1,9120.0,1000001.0,RETRIBUCIONS.- CÀRRECS ELECTES,285090.0,-6551.36,278538.64,278538.64
,,CM1,1690.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA..- CIUTAT I MEDI AMBIENT,,,,
,,SG1,9270.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA.- PARTICIPACIÓ CIUTADANA,55000.0,-3734.49,51265.51,51265.51
,,SG4,4310.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA DINAMITZACIÓ COMERCIAL,40644.0,,40644.0,40644.0
,,SG4,9311.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA.- SERV. ECONÒMICS,47000.0,,47000.0,47000.0
,,SP1,2305.0,1010000.0,BÀSIQUES.- PERSONAL DE CONFIANÇA.- SERVEI A LES PERSONES,36400.0,-7746.66,28653.34,28653.34
,,CM1,1690.0,1010100.0,COMPLEMENTÀRIES.- CÀRRECS CONFIANÇA.- CIUTAT I MEDI AMBIENT,,,,
,,SG1,9270.0,1010100.0,COMPLEMENTÀRIES.- CÀRRECS CONFIANÇA.- PARCIPACIÓ CIUTADANA,,,,
,,SG4,9311.0,1010100.0,COMPLEMENTÀRIES.- CÀRRECS CONFIANÇA.- SERV. ECONÒMICS,,,,
,,SP1,2305.0,1010100.0,COMPLEMENTÀRIES.- CÀRRECS CONFIANÇA.- SERV. A LES PERSONES,,,,
,,CM1,1550.0,1200001.0,BASIQUES FUNC.- VIES PUBLIQUES..,47240.0,-4000.0,43240.0,43240.0
,,CM1,1610.0,1200001.0,BASIQUES FUNC.- AIGUA I SANEJAMENT,24809.0,-2635.69,22173.31,22173.31
,,CM1,1650.0,1200001.0,BASIQUES FUNC.- ENLLUMENAT .....,24058.0,-6031.18,18026.82,18026.82
,,CM1,1690.0,1200001.0,BASIQUES FUNC.- CIUTAT I MEDI AMBIENT,11904.0,,11904.0,11904.0
,,CM1,1720.0,1200001.0,RETRIBUCIONS BASIQUES.- MEDI AMBIENT,,,,
,,CM2,1511.0,1200001.0,BASIQUES FUNC.- URBANISME .....,88375.0,-27669.97,60705.03,60705.03
,,CM3,1512.0,1200001.0,BASIQUES FUNCIONARIS.- OBRA PÚBLICA,,,,
,,SG1,9120.0,1200001.0,BASIQUES FUNC.- ORG. GOVERN..,27052.0,,27052.0,27052.0
,,SG2,9205.0,1200001.0,BASIQUES FUNC.- REC. HUMANS...,16618.0,-16618.0,,
,,SG3,9202.0,1200001.0,BASIQUES FUNC.-SERVEIS JURÍDICS.....,40492.0,,40492.0,40492.0
,,SG3,9203.0,1200001.0,BASIQUES FUNC.- CONTRACTACIÓ...,16334.0,-1578.45,14755.55,14755.55
,,SG4,9311.0,1200001.0,BASIQUES FUNC.- INTERVENCIO...,29109.0,-9379.84,19729.16,19729.16
,,SG4,9324.0,1200001.0,BASIQUES FUNC.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,62644.0,,62644.0,62644.0
,,SG5,1300.0,1200001.0,BASIQUES FUNC.- POLICIA .......,927273.0,-122560.4,804712.6,804712.6
,,SP1,2410.0,1200001.0,RETRIBUCIONS BASIQUES.- FORMACIÓ,11784.0,,11784.0,11784.0
,,SP1,3370.0,1200001.0,BASIQUES FUNC.- JOVENTUT,12265.0,-1496.13,10768.87,10768.87
,,SP2,3323.0,1200001.0,BASIQUES FUNC.- ARXIU I PATR..,22745.0,-2159.11,20585.89,20585.89
,,SP2,3390.0,1200001.0,BASIQUES FUNCIONARIS.- SERV. CULTURA,17263.0,-9038.56,8224.44,8224.44
,,SP3,3400.0,1200001.0,BASIQUES FUNC.- ESPORTS .......,11333.0,,11333.0,11333.0
,,CM1,1550.0,1210001.0,COMPLEM. FUNC.- VIES PUBLIQUES.,28780.0,,28780.0,28780.0
,,CM1,1610.0,1210001.0,COMPLEM. FUNC.- AIGUA I SANEJAMENT,17671.0,,17671.0,17671.0
,,CM1,1650.0,1210001.0,COMPLEM. FUNC.- ENLLUMENAT ....,13108.0,,13108.0,13108.0
,,CM1,1690.0,1210001.0,COMPLEM. FUNC.- CIUTAT I MEDI AMBIENT,6554.0,,6554.0,6554.0
,,CM1,1720.0,1210001.0,RETRIBUCIONS COMPLEMENTARIES.- MEDI AMBIENT,,,,
,,CM2,1511.0,1210001.0,COMPLEM. FUNC.- URBANISME ....,86412.0,,86412.0,86412.0
,,CM3,1512.0,1210001.0,COMPL. FUNCIONARI.- OBRA PÚBLICA,,,,
,,SG1,9120.0,1210001.0,COMPLEM. FUNC.- ORG. GOVERN,28009.0,,28009.0,28009.0
,,SG2,9205.0,1210001.0,COMPLEM. FUNC.- REC. HUMANS..,24922.0,-24922.0,,
,,SG3,9202.0,1210001.0,COMPLEM. FUNC.-SERVEIS JURÍDICS....,42324.0,,42324.0,42324.0
,,SG3,9203.0,1210001.0,COMPLEM. FUNC.- CONTRACTACIÓ..,10012.0,,10012.0,10012.0
,,SG4,9311.0,1210001.0,COMPLEM. FUNC.- INTERVENCIO..,37407.0,,37407.0,41413.89
,,SG4,9324.0,1210001.0,COMPLEM. FUNC.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,47200.0,,47200.0,47200.0
,,SG5,1300.0,1210001.0,COMPLEM. FUNC.- POLICIA ......,719428.0,,719428.0,719428.0
,,SP1,2410.0,1210001.0,COMPLEM. FUNC.- FORMACIÓ,7565.0,,7565.0,7565.0
,,SP1,3370.0,1210001.0,COMPLEMEN. FUNC.- JOVENTUT,11488.0,,11488.0,11488.0
,,SP2,3323.0,1210001.0,COMPLEM. FUNC.- ARXIU I PATR..,15850.0,,15850.0,15850.0
,,SP2,3390.0,1210001.0,COMPLEM.- FUNC.- CULTURA,30853.0,,30853.0,30853.0
,,SP3,3400.0,1210001.0,COMPLEM. FUNC.- ESPORTS .......,7027.0,,7027.0,7027.0
,,CM1,1550.0,1300001.0,BASIQUES LAB.- VIES PUBLIQUES ..,79582.0,-7890.3,71691.7,71691.7
,,CM1,1650.0,1300001.0,BASIQUES LAB.- ENLLUMENAT ......,30386.0,,30386.0,30386.0
,,CM1,1690.0,1300001.0,BASIQUES LAB.- CIUTAT I MEDI AMBIENT,152271.0,-17334.76,134936.24,126436.24
,,CM1,1710.0,1300001.0,BASIQUES LAB.- PARCS I JARD..,98035.0,-11136.96,86898.04,86898.04
,,CM1,1720.0,1300001.0,BASIQUES LAB.- MEDI AMBIENT,39120.0,-4195.08,34924.92,34924.92
,,CM2,1511.0,1300001.0,BASIQUES LAB.- URBANISME ......,113718.0,-25203.23,88514.77,88514.77
,,CM3,1512.0,1300001.0,BASIQUES LAB.- PROJECTES ......,93723.0,-9640.24,84082.76,84082.76
,,SG1,9120.0,1300001.0,BASIQUES LAB.- ALCALDIA,35187.0,,35187.0,35187.0
,,SG1,9270.0,1300001.0,BASIQUES LAB.- COMUNICACIO ...,22075.0,,22075.0,22075.0
,,SG2,9205.0,1300001.0,BASIQUES LAB.- REC. HUMANS ...,76528.0,-9582.9,66945.1,66945.1
,,SG2,9206.0,1300001.0,BASIQUES LAB.- INFORMATICA ....,25493.0,-2843.21,22649.79,22649.79
,,SG3,4930.0,1300001.0,BASIQUES LAB.- DEFENS. CONSUM.,,,,
,,SG3,9200.0,1300001.0,BASIQUES LAB.- OFICINA ATENCIÓ AL CIUTADÀ,117087.0,-11917.01,105169.99,105169.99
,,SG3,9202.0,1300001.0,BASIQUES LAB.-SERVEIS JURÍDICS......,97268.0,-14900.81,82367.19,82367.19
,,SG4,4302.0,1300001.0,BASIQUES LAB.- PEIXATERIA .....,,,,
,,SG4,9311.0,1300001.0,BASIQUES LAB.- INTERVENCIO ...,38645.0,,38645.0,38645.0
,,SG4,9324.0,1300001.0,BASIQUES LAB.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,81587.0,-15195.64,66391.36,66391.36
,,SG5,1300.0,1300001.0,BASIQUES LAB.- POLICIA ........,9652.0,,9652.0,9652.0
,,SP1,2304.0,1300001.0,BASIQUES LAB.- ASSISTÈNCIA PRIMÀRIA,162549.0,-16626.78,145922.22,145922.22
,,SP1,2305.0,1300001.0,BASIQUES LAB.- MEDIACIÓ SOCIAL,53824.0,,53824.0,53824.0
,,SP1,2410.0,1300001.0,BASIQUES LAB.- FORMACIÓ,18714.0,-2934.74,15779.26,15779.26
,,SP1,3120.0,1300001.0,BASIQUES LAB.- R.G.A. .........,721615.0,-98903.51,622711.49,622711.49
,,SP1,3130.0,1300001.0,BASIQUES LAB.-SANITAT ........,14793.0,-1655.3,13137.7,13137.7
,,SP1,3131.0,1300001.0,BASIQUES LAB.-LLACER,10152.0,-1158.28,8993.72,8993.72
,,SP2,3210.0,1300001.0,BASIQUES LAB.- EDUCACIO ......,92646.0,-10100.97,82545.03,82545.03
,,SP2,3233.0,1300001.0,BASIQUES LAB.- ESCOLES MUNICIPALS,16414.0,-2263.36,14150.64,14150.64
,,SP2,3320.0,1300001.0,BASIQUES LAB.- CLAUSTRE CARME,9872.0,-1079.37,8792.63,8792.63
,,SP2,3323.0,1300001.0,BASIQUES LAB.- ARXIU I PATR..,10972.0,,10972.0,10972.0
,,SP2,3346.0,1300001.0,BASIQUES LAB.-NORMALITZ.  LING.,20971.0,-1783.93,19187.07,19187.07
,,SP2,3390.0,1300001.0,BASIQUES LAB.- CULTURA ........,86905.0,,86905.0,69905.0
,,SP3,3400.0,1300001.0,BASIQUES LAB.- ESPORTS .......,216422.0,-24017.78,192404.22,192544.15
,,SG2,9205.0,1300101.0,HORES EXTRAORDINÀRIES / SERV. EXTRAORDINAIRS,30000.0,,30000.0,19651.36
,,CM1,1550.0,1300201.0,COMPLEM. LAB.- VIES PUBLIQUES..,47930.0,,47930.0,47930.0
,,CM1,1650.0,1300201.0,COMPLEM. LAB.- ENLLUMENAT .....,23281.0,,23281.0,23281.0
,,CM1,1690.0,1300201.0,COMPLEM. LAB.- CIUTAT I MEDI AMBIENT,127984.0,,127984.0,121784.0
,,CM1,1710.0,1300201.0,COMPLEM. LAB.- PARCS I JARD.,63541.0,,63541.0,63541.0
,,CM1,1720.0,1300201.0,COMPLEM. LAB.- MEDI AMBIENT,28092.0,,28092.0,28092.0
,,CM2,1511.0,1300201.0,COMPLEM. LAB.- URBANISME .....,71949.0,-6135.56,65813.44,65813.44
,,CM3,1512.0,1300201.0,COMPLEM. LAB.- PROJECTES .....,85409.0,,85409.0,85409.0
,,SG1,9120.0,1300201.0,COMPLEM. LAB.-ALCALDIA,18715.0,,18715.0,18715.0
,,SG1,9270.0,1300201.0,COMPLEM. LAB.- COMUNICACIO ..,25899.0,,25899.0,25899.0
,,SG2,9205.0,1300201.0,COMPLEM. LAB.- REC. HUMANS...,46801.0,,46801.0,46801.0
,,SG2,9206.0,1300201.0,COMPLEM. LAB.- INFORMATICA....,21552.0,,21552.0,21552.0
,,SG3,4930.0,1300201.0,COMPLEM. LAB.- DEFENS. CONSUM.,,,,
,,SG3,9200.0,1300201.0,COMPLEM. LAB.- OFICINA ATENCIÓ AL CIUTADÀ,65442.0,,65442.0,65442.0
,,SG3,9202.0,1300201.0,COMPLEM. LAB.-SERVEIS JURÍDICS ....,73801.0,,73801.0,73801.0
,,SG4,4302.0,1300201.0,COMPLEM. LAB.- PEIXATERIA.....,,,,
,,SG4,9311.0,1300201.0,COMPLEM. LAB.- INTERVENCIO...,30490.0,,30490.0,31422.57
,,SG4,9324.0,1300201.0,COMPLEM. LAB.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,47824.0,,47824.0,47824.0
,,SG5,1300.0,1300201.0,COMPLEM. LAB.- POLICIA .......,6136.0,,6136.0,6136.0
,,SP1,2304.0,1300201.0,COMPLEM. LAB.- ATENCIÓ PRIMÀRIA,98128.0,,98128.0,98128.0
,,SP1,2305.0,1300201.0,COMPLEM. LAB.- MEDIACIÓ SOCIAL,37102.0,,37102.0,37102.0
,,SP1,2410.0,1300201.0,COMPLEM. LAB.- FORMACIÒ.,14239.0,,14239.0,14239.0
,,SP1,3120.0,1300201.0,COMPLEM. LAB.- R.G.A. ........,449803.0,-12929.44,436873.56,436873.56
,,SP1,3130.0,1300201.0,COMPLEM. LAB.-SANITAT .......,10983.0,,10983.0,10983.0
,,SP1,3131.0,1300201.0,COMPLEM. LAB.-LLACER,6136.0,,6136.0,6136.0
,,SP2,3210.0,1300201.0,COMPLEM. LAB.- EDUCACIO......,55651.0,,55651.0,55651.0
,,SP2,3233.0,1300201.0,COMPLEM. LAB.- ESCOLES MPALS.,19448.0,,19448.0,19448.0
,,SP2,3320.0,1300201.0,COMPLEM. LAB.- CLAUSTRE CARME,5240.0,,5240.0,5240.0
,,SP2,3323.0,1300201.0,COMPLEM. LAB.- ARXIU I PATR.,6522.0,,6522.0,6522.0
,,SP2,3346.0,1300201.0,COMPLEM. LAB.-NORMALITZ. LING.,13096.0,,13096.0,13096.0
,,SP2,3390.0,1300201.0,COMPLEM. LAB.- CULTURA .......,55369.0,,55369.0,25369.0
,,SP3,3400.0,1300201.0,COMPLEM. LAB.- ESPORTS ......,132063.0,,132063.0,132063.0
,,CM1,1690.0,1310001.0,LABORAL EVENTUAL .- OBRA PUBLICA,,119732.28,119732.28,19337.87
,,CM1,1720.0,1310001.0,LABORAL EVENTUAL.- MEDI AMBIENT,,,,
,,CM2,1511.0,1310001.0,LABORAL EVENTUAL.- URBANISME,,73805.57,73805.57,73805.57
,,SG2,9205.0,1310001.0,PERS. EVENTUAL.- REC. HUMANS.,198796.0,94518.6,293314.6,294319.01
,,SG5,1300.0,1310001.0,LABORAL EVENTUAL.- POLICIA,,,,
,,SP1,2304.0,1310001.0,LABORAL EVENTUAL.- ATENCIÓ PRIMÀRIA,75729.0,1800.0,77529.0,77529.0
,,SP1,2410.0,1310001.0,PERS. EVENTUAL - FORMACIÓ......,139393.0,19115.73,158508.73,139393.0
,,SP1,3120.0,1310001.0,PERS. EVENTUAL - R.G.A. ........,56143.0,126339.64,182482.64,142712.27
,,SP2,3233.0,1310001.0,LABORAL EVENTUAL.- ESCOLES MUNICIPALS,70549.0,,70549.0,70549.0
,,SP2,3390.0,1310001.0,"PERS, EVENTUAL - CULTURA .......",,,,
,,SP3,3400.0,1310001.0,LABORAL EVENTUAL.- SERV. MPAL. D'ESPORTS,,,,
,,SG2,9205.0,1310002.0,PERSONAL EVENTUAL.- INDEMNITZACIONS,,,,
,,SG2,9205.0,1500001.0,PRODUCTIVITAT.- REC. HUMANS..,824407.0,,824407.0,736461.68
,,CM1,1550.0,1600001.0,SEG. SOCIAL.- VIES PUBLIQUES...,68743.0,,68743.0,68743.0
,,CM1,1610.0,1600001.0,SEG. SOCIAL.- AIGUA I SANEJAMENT,14561.0,,14561.0,14561.0
,,CM1,1650.0,1600001.0,SEG. SOCIAL.- ENLLUMENAT ......,89154.0,,89154.0,88429.53
,,CM1,1690.0,1600001.0,SEG. SOCIAL.- CIUTAT I MEDI AMBIENT,93481.0,51313.84,144794.84,102631.15
,,CM1,1710.0,1600001.0,SEG. SOCIAL.- PARCS I JARDIN,54101.0,,54101.0,54101.0
,,CM1,1720.0,1600001.0,SEG. SOCIAL.- MEDI AMBIENT,19000.0,,19000.0,19000.0
,,CM2,1511.0,1600001.0,SEG. SOCIAL.- URBANISME ......,92587.0,,92587.0,93696.99
,,CM3,1512.0,1600001.0,SEG. SOCIAL.- PROJECTES ......,46625.0,,46625.0,46625.0
,,SG1,9120.0,1600001.0,SEG. SOCIAL.- ORG. GOVERN...,31077.0,,31077.0,31077.0
,,SG1,9270.0,1600001.0,SEG. SOCIAL.- COMUNICACIO ...,24076.0,,24076.0,24076.0
,,SG2,9205.0,1600001.0,SEG. SOCIAL.- REC. HUMANS ...,397290.0,22705.11,419995.11,373065.5
,,SG2,9206.0,1600001.0,SEG. SOCIAL.- INFORMATICA ....,13299.0,,13299.0,13299.0
,,SG3,4930.0,1600001.0,SEG. SOCIAL.- DEFENSA CONSUMID,,,,
,,SG3,9200.0,1600001.0,SEG. SOCIAL.- OFICINA ATENCIÓ AL CIUTADÀ,51598.0,,51598.0,51598.0
,,SG3,9202.0,1600001.0,SEG.SOCIAL.-SERVEIS JURÍDICS ......,62710.0,,62710.0,62710.0
,,SG3,9203.0,1600001.0,SEG. SOCIAL.- CONTRACTACIÓ ...,6231.0,,6231.0,6231.0
,,SG4,4301.0,1600001.0,QUOTES SOCIALS.- DINAMITZACIÓ COMERCIAL,,,,
,,SG4,4302.0,1600001.0,SEG. SOCIAL.- PEIXATERIA .....,,,,
,,SG4,4310.0,1600001.0,QUOTES SOCIALS- DINAMITZACIÓ COMERCIAL,12365.0,,12365.0,12365.0
,,SG4,9311.0,1600001.0,SEG. SOCIAL.- INTERVENCIO....,47647.0,,47647.0,47647.0
,,SG4,9324.0,1600001.0,SEG. SOCIAL.- GESTIÓ TRIBUTÀRIA I RECAPTACIO,66232.0,,66232.0,66232.0
,,SG5,1300.0,1600001.0,SEG. SOCIAL.- POLICIA ........,477722.0,,477722.0,457998.61
,,SP1,2304.0,1600001.0,SEG. SOCIAL.- ATENCIÓ PRIMÀRIA,98340.0,700.0,99040.0,99040.0
,,SP1,2305.0,1600001.0,SEG. SOCIAL.- MEDIACIÓ SOCIAL,37832.0,,37832.0,37832.0
,,SP1,2410.0,1600001.0,SEG. SOCIAL.- FORMACIÓ,59146.0,8192.45,67338.45,61341.26
,,SP1,3120.0,1600001.0,SEG. SOCIAL.- R.G.A. .........,354955.0,41047.22,396002.22,378544.4
,,SP1,3130.0,1600001.0,SEG. SOCIAL.-SANITAT ........,7287.0,,7287.0,7287.0
,,SP1,3131.0,1600001.0,SEG. SOCIAL.-LLACER,5454.0,,5454.0,5454.0
,,SP1,3370.0,1600001.0,SEG. SOCIAL.- JOVENTUT,5476.0,,5476.0,5476.0
,,SP2,3210.0,1600001.0,SEG. SOCIAL.- EDUCACIO ......,48447.0,,48447.0,48447.0
,,SP2,3233.0,1600001.0,SEG. SOCIAL.- ESCOLES MUNICIPALS,33101.0,,33101.0,33101.0
